energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
328.35820895522,1374.0,8.955223880597,49.253731343284,11.940298507463
100.0,418.0,0.0,40.0,0.0
316.816,1166.4,13.44,15.672,8.082
356.0,1490.0,22.4,24.0,13.5
20.0,84.0,13.0,2.0,1.0
379.0,1586.0,8.62,75.86,6.9
467.0,1954.0,26.67,66.67,6.67
15.0,63.0,0.3,3.0,1.0
429.0,1795.0,14.29,69.84,9.52
459.0,1920.0,17.6,67.0,10.6
515.4,2154.8,43.736,15.079999999999998,16.866
388.88888888889,1627.0,2.7777777777778,86.111111111111,5.5555555555556
36.0,151.0,1.8,1.6,3.2
176.0,736.0,11.97,2.11,16.9
266.66666666667,1116.0,2.2222222222222,51.111111111111,8.8888888888889
357.0,1490.0,28.6,0.0,25.0
248.0,1040.0,17.5,12.4,8.76
0.0,0.0,0.0,0.0,0.0
450.0,1883.0,17.5,72.5,7.5
645.0,2699.0,64.232,32.6,3.432
407.0,1703.0,14.1,69.3,7.1
87.837837837838,368.0,0.0,20.27027027027,1.3513513513514
0.0,0.0,0.0,0.0,0.0
600.0,2510.0,56.67,16.67,20.0
625.0,2615.0,50.0,18.75,21.88
250.0,1046.0,0.0,65.0,0.0
183.0,766.0,0.0,0.1,5.8
513.0,2146.0,26.0,63.0,6.0
63.0,264.0,3.5,4.5,3.4
244.0,1021.0,13.33,27.78,4.44
100.0,418.0,0.0,0.0,0.0
179.0,748.0,4.76,15.5,19.0
32.0,134.0,0.0,7.7,0.4
344.0,1439.0,1.56,71.88,12.5
194.0,812.0,0.0,44.44,0.0
468.0,1958.0,17.0,27.0,21.1
106.0,444.0,0.0,21.21,0.0
390.0,1632.0,10.0,65.3,7.1
118.0,494.0,0.0,29.41,0.0
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
515.4,2154.8,49.992,26.82666666666666,16.866
0.0,0.0,0.0,0.0,0.0
375.0,1569.0,5.0,87.5,0.0
238.1568032253878,1177.6,29.11428,16.19879076479077,16.1204616931216
515.4,2154.8,49.992,26.82666666666666,16.866
218.0,912.0,6.02,30.1,11.3
395.912781954888,1798.0,32.29788,53.3281733333334,4.4970175438596005
33.0,138.0,0.0,6.56,1.64
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
33.0,138.0,0.0,6.67,0.83
375.0,1569.0,6.25,67.5,12.5
452.0,1890.0,19.0,69.0,7.14
482.75862068966,2020.0,34.48275862069,3.448275862069,41.379310344828
0.0,0.0,0.0,0.0,0.0
351.0,1470.0,21.6,37.8,4.05
13.333333333333,56.0,0.0,0.0,0.0
158.98,1041.8,3.7,22.018448275862,11.588
433.0,1812.0,15.0,66.67,13.33
403.25,1687.0,8.065,80.65,0.0
94.1,394.0,2.94,14.1,1.76
645.0,2699.0,64.232,32.6,3.432
403.0190476190476,1535.8,28.36476190476194,27.817142857142848,2.838
96.0,402.0,1.6,15.2,4.8
820.0,3431.0,24.0,11.0,4.1
100.0,418.0,4.38,4.38,10.6
53.097345132743,222.0,0.0,12.389380530973,0.0
47.2,198.0,0.0,12.2,0.0
467.0,1950.0,16.7,70.0,10.0
263.0,1100.0,2.63,50.88,7.02
304.0,1272.0,0.0,67.39,6.52
46.0,192.0,0.83,5.0,4.58
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
1.0,4.0,0.0,0.2,0.0
306.0,1280.0,21.0,17.0,11.0
303.2,717.78,18.6673331807456,43.664,11.764
40.0,167.0,0.0,10.62,0.0
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
71.0,297.0,0.0,4.42,11.5
351.0,1469.0,20.21,39.36,4.26
393.0,1644.0,3.57,82.14,10.71
378.298498498498,1441.6,8.06666,44.2069562165634,6.7258095238096
270.58823529412,1132.0,12.941176470588,30.588235294118,7.0588235294118
80.14857142857143,335.6,17.14,60.0,8.57
3.3333333333333,14.0,0.0,0.0,0.0
110.0,458.0,1.59,18.7,4.95
